matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,1721198,0.0,0,750947
5,0,1238220,0.0,0,511263
6,0,851710,0.0,0,329460
7,0,562669,0.0,0,201686
8,0,359198,0.0,0,117766
9,0,223418,0.0,0,66084
10,0,136758,0.0,0,35605
11,0,82793,0.0,0,18405
12,3590,50495,0.9602938934242856,35,9151
13,4719,31143,0.9384592199663796,47,4431
14,4962,19710,0.9170654676765376,49,2075
15,6042,12853,0.8266439547823431,60,911
16,5669,8542,0.7423433763579288,56,387
17,4827,5805,0.6249210646111383,48,135
18,4042,4112,0.29251237231054833,40,48
19,2950,2950,0.12301596713261695,19,20
20,2161,2161,0.18381886391459526,4,5
21,1612,1612,0.19987148168438013,0,1
22,1219,1219,0.2315666009863204,-1,0
23,840,840,0.4301288175407624,-1,0
24,587,587,0.6243185451826383,-1,0
25,385,385,0.6243185451826383,-1,0
26,237,237,0.6243185451826383,-1,0
27,136,136,0.7224529892620497,-1,0
28,90,90,0.7224529892620497,-1,0
29,42,42,0.7465672409977789,-1,0
30,15,15,0.775903537546473,-1,0
31,4,4,0.775903537546473,-1,0
